allowNameNumber,categoryId,categoryName,categorySlug,comparePrice,dimensions,id,images,isActive,isFeatured,isPreOrder,name,nameNumberPrice,price,selectedBadges,seoKeywords,seoTitle,sku,slug,stock,variants,weight
true,cat_jerseys_001,Jersey,jersey,,,cmfs7j2290005yjwhfqrk9l8k,/uploads/products/product-1758368731772-omqx6a.jpg|/uploads/products/product-1758368731773-e6ww2z.jpg,true,true,false,Argentina 14 Away,250,1200,"[""badge-1758234237039"",""badge-1758234388393"",""badge-1758234442911"",""badge-1758234474158""]",,,SKU-1758369043593-UGPBUL,argentina-14-away,0,,
true,cat_jerseys_001,Jersey,jersey,1150,,cmfsqi5v900amyjwhxte6yuy3,/uploads/products/product-1758400835276-54203u.jpg|/uploads/products/product-1758400835278-0rzves.jpg|/uploads/products/product-1758400835278-dow54j.jpg,false,true,false,Real Madrid Baseball Shirt,250,850,"[""badge-1758234237039"",""badge-1758234388393"",""badge-1758234442911"",""badge-1758234474158""]",,,SKU-1758400914569-AHV79V,real-madrid-baseball-shirt,0,"Fabric Type::Fan Version::1400::0::Fan Version::[{""size"":""S"",""price"":1400,""stock"":5},{""size"":""M"",""price"":1400,""stock"":8},{""size"":""L"",""price"":1400,""stock"":10},{""size"":""XL"",""price"":1500,""stock"":7},{""size"":""2XL"",""price"":1600,""stock"":5},{""size"":""3XL"",""price"":1700,""stock"":3}]:::: ;; Fabric Type::Player Version::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":3},{""size"":""M"",""price"":850,""stock"":5},{""size"":""L"",""price"":850,""stock"":7},{""size"":""XL"",""price"":850,""stock"":5},{""size"":""2XL"",""price"":850,""stock"":3},{""size"":""3XL"",""price"":850,""stock"":2}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmfvf8e4k009jgsup2rpnyzmn,/uploads/products/product-1758563314636-0jkxup.jpg|/uploads/products/product-1758563314637-sla7ce.jpg|/uploads/products/product-1758563314637-vfhfqo.jpg,false,true,false,Argentina Mokina,250,850,"[""badge-1758234237039"",""badge-1758234388393"",""badge-1758234442911"",""badge-1758234474158""]",,,SKU-1758563381509-R74CMX,argentina-mokina-1758563381509-gvbr,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":3},{""size"":""L"",""price"":850,""stock"":0},{""size"":""XL"",""price"":850,""stock"":0},{""size"":""XXL"",""price"":850,""stock"":0},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":2}]:::: ;; ::::::0::Fan Version::[{""size"":""S"",""price"":1500,""stock"":0},{""size"":""M"",""price"":1500,""stock"":3},{""size"":""L"",""price"":1500,""stock"":0},{""size"":""XL"",""price"":1500,""stock"":0},{""size"":""XXL"",""price"":1500,""stock"":0},{""size"":""3XL"",""price"":1750,""stock"":0},{""size"":""4XL"",""price"":1750,""stock"":2},{""size"":""5XL"",""price"":1750,""stock"":2}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmfvqcux7005gtluxsqvowlbw,/uploads/products/product-1758582014605-dmnyun.jpg|/uploads/products/product-1758582014606-ksyhav.jpg|/uploads/products/product-1758582014606-hhv3eg.jpg|/uploads/products/product-1758582014607-up3nst.jpg,false,true,false,Vasco Da Gama 3rd Kit,250,850,"[""badge-1758234237039"",""badge-1758234388393"",""badge-1758234442911"",""badge-1758234474158""]",,,SKU-1758582065641-5WCHD2,vasco-da-gama-3rd-kit-1758582065641-4672,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":3},{""size"":""M"",""price"":850,""stock"":3},{""size"":""L"",""price"":850,""stock"":3},{""size"":""XL"",""price"":850,""stock"":3},{""size"":""XXL"",""price"":850,""stock"":3},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmfvqzqoq0079tluxjetax4nr,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759664481040-u03dvx.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759664610576-5l9v0y.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759664621979-7r12j7.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759664623341-ipvnn7.jpg,false,true,false,Real Madrid Galaxy,250,850,"[""badge-1758234237039"",""badge-1758234388393"",""badge-1758234442911"",""badge-1758234474158""]",,,SKU-1758583133261-HIBVLA,real-madrid-galaxy,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":10},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":10},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
false,cat_tracksuit_1758732349709,Tracksuit,tracksuit,,,cmg72lvyp000l817pufsd7v3d,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759266996643-yfyucl.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759266997536-dyejcp.jpeg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759266998014-nykvi7.jpeg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759266998383-ejtuty.jpeg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759266998756-1kg4gs.jpeg,true,true,true,Real Madrid Winter Tracksuit,250,2450,[],"Real Madrid Tracksuit, Adidas Football apparel",Buy Real Madrid Tracksuit | Adidas Football Apparel,SKU-1759267770207-UDV4N8,real-madrid-winter-tracksuit,0,"::::::0::::[{""size"":""S"",""price"":3850,""stock"":0},{""size"":""M"",""price"":3850,""stock"":0},{""size"":""L"",""price"":3850,""stock"":0},{""size"":""XL"",""price"":3850,""stock"":0},{""size"":""XXL"",""price"":3850,""stock"":0}]::Set:: ;; ::::::0::::[{""size"":""S"",""price"":2490,""stock"":10},{""size"":""M"",""price"":2490,""stock"":1},{""size"":""L"",""price"":2490,""stock"":1},{""size"":""XL"",""price"":2490,""stock"":1},{""size"":""XXL"",""price"":2490,""stock"":0}]::Upper::",
false,cat_tracksuit_1758732349709,Tracksuit,tracksuit,,,cmg79tv370009ip1vfmdqm1zl,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759279806312-6oke1c.jpg,true,true,true,ManU winter Tracksuit,250,2490,[],,,SKU-1759279899429-KLP9C4,manu-winter-tracksuit-1759279899429-ehop,0,"::::::0::::[{""size"":""S"",""price"":3850,""stock"":10},{""size"":""M"",""price"":3850,""stock"":10},{""size"":""L"",""price"":3850,""stock"":10},{""size"":""XL"",""price"":3850,""stock"":10},{""size"":""XXL"",""price"":3850,""stock"":10}]::Set:: ;; ::::::0::::[{""size"":""S"",""price"":2490,""stock"":10},{""size"":""M"",""price"":2490,""stock"":10},{""size"":""L"",""price"":2490,""stock"":10},{""size"":""XL"",""price"":2490,""stock"":10},{""size"":""XXL"",""price"":2490,""stock"":10}]::Upper::",
false,cat_tracksuit_1758732349709,Tracksuit,tracksuit,,,cmg8db3ct0003k7wlh427396v,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759346135067-iux55w.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759346136334-ahd7up.jpeg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759346136886-p74c2a.jpeg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759346137503-ikeiis.jpeg,true,true,true,RiverPlate Winter TrackSuit,250,2490,[],,,SKU-1759346208237-P82CHX,riverplate-winter-tracksuit-1759346208237-ab4j,0,"::::::0::::[{""size"":""S"",""price"":3850,""stock"":10},{""size"":""M"",""price"":3850,""stock"":10},{""size"":""L"",""price"":3850,""stock"":10},{""size"":""XL"",""price"":3850,""stock"":10},{""size"":""XXL"",""price"":3850,""stock"":10}]::Set:: ;; ::::::0::::[{""size"":""S"",""price"":2490,""stock"":10},{""size"":""M"",""price"":2490,""stock"":10},{""size"":""L"",""price"":2490,""stock"":10},{""size"":""XL"",""price"":2490,""stock"":10},{""size"":""XXL"",""price"":2490,""stock"":10}]::Upper::",
false,cat_jerseys_001,Jersey,jersey,950,,cmg8kda3z0014yif95y1nevxz,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759358032886-kak8j3.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759358052065-0qb0qp.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759358052467-kfgvda.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759358052936-8xqpfl.jpg,true,false,false,Inter Miami Kids Set,250,880,[],,,SKU-1759358067903-S7BIBN,inter-miami-kids-set,0,"::::::0::Kids Set::[{""size"":""16"",""price"":880,""stock"":10},{""size"":""18"",""price"":880,""stock"":10},{""size"":""20"",""price"":880,""stock"":10},{""size"":""22"",""price"":880,""stock"":10},{""size"":""24"",""price"":880,""stock"":10},{""size"":""26"",""price"":880,""stock"":10},{""size"":""28"",""price"":880,""stock"":10}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmgdm4afe000xkku0vjokbhyb,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663269474-kla2v1.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663281161-8rjwl8.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663289298-txmsn2.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663290487-ppj825.jpg,true,false,false,Arsenal 25-26 Away Player Long Sleeve,250,850,[],,,SKU-1759663338322-HT4M82,arsenal-25-26-away-player-long-sleeve-1759663338322-fio6,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
false,cat_jerseys_001,Jersey,jersey,1150,,cmgdm97vi0001tqmxqbdo2gb4,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663530689-4j4yjs.jpg,true,false,false,LFC 25-26 Away Full Sleeve,250,850,[],,,SKU-1759663568157-6I3RQA,lfc-25-26-away-full-sleeve-1759663568157-rk4t,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmgdmbrrq0003gysfartz3n7f,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663662909-4nss01.jpg,true,false,false,Barcelona 25-26 Home Long Sleeve,250,850,[],,,SKU-1759663687363-5Q9VXO,barcelona-25-26-home-long-sleeve-1759663687363-4ax9,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmgdmepw80005141jgb1k7bd4,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663754623-h4mddn.jpg,true,false,false,Royal Madrid 25-26 Away Long Sleeve,250,850,[],,,SKU-1759663824904-PVS1B5,royal-madrid-25-26-away-long-sleeve-1759663824904-9ft1,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmgdmgmnn00055ywi4ua7ggxu,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759663876295-y38qi3.jpg,true,false,false,Royal Madrid 25-26 Third Long Sleeve,250,850,[],,,SKU-1759663914031-2ELCVF,royal-madrid-25-26-third-long-sleeve,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmgdmktxk00013864neh3a3e3,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759664044341-7j76hj.jpg,true,false,false,Liverpool 25-26 Home Long Sleeve,250,850,[],,,SKU-1759664109967-9EZPE8,liverpool-25-26-home-long-sleeve-1759664109967-p9ih,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmgdmoow3000110az9uzwf1ny,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759664244794-dy1jd4.jpg,false,true,false,Liverpool 25-26 Away Long Sleeve,250,850,[],,,SKU-1759664290056-V6IZ84,liverpool-25-26-away-long-sleeve-1759664290056-fbtk,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
true,cat_jerseys_001,Jersey,jersey,1150,,cmgdmr2io0005xdst83bwk7q0,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759664380194-0d9nkn.jpg,true,false,false,Man City 25-26 Away Full Sleeve,250,850,[],,,SKU-1759664401124-DW92AQ,man-city-25-26-away-full-sleeve-1759664401124-7bim,0,"::::850::0::Player Version::[{""size"":""S"",""price"":850,""stock"":0},{""size"":""M"",""price"":850,""stock"":10},{""size"":""L"",""price"":850,""stock"":10},{""size"":""XL"",""price"":850,""stock"":10},{""size"":""XXL"",""price"":850,""stock"":10},{""size"":""3XL"",""price"":850,""stock"":0},{""size"":""4XL"",""price"":850,""stock"":0},{""size"":""5XL"",""price"":850,""stock"":0}]::::",
false,cat_tracksuit_1758732349709,Tracksuit,tracksuit,,,cmgdn8flu0007ihr1k8h4ymyr,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759665160563-d1oth0.jpg,true,true,true,Ajax Winter Track Suit,250,2490,[],,,SKU-1759665211265-XQA0F3,ajax-winter-track-suit-1759665211265-x9h2,0,"::::::0::::[{""size"":""S"",""price"":3850,""stock"":10},{""size"":""M"",""price"":3850,""stock"":10},{""size"":""L"",""price"":3850,""stock"":10},{""size"":""XL"",""price"":3850,""stock"":10},{""size"":""XXL"",""price"":3850,""stock"":10}]::Set:: ;; ::::::0::::[{""size"":""S"",""price"":2490,""stock"":10},{""size"":""M"",""price"":2490,""stock"":10},{""size"":""L"",""price"":2490,""stock"":10},{""size"":""XL"",""price"":2490,""stock"":10},{""size"":""XXL"",""price"":2490,""stock"":10}]::Upper::",
true,cat_jerseys_001,Jersey,jersey,950,,cmgeishhb000dyzz5qcn9e48i,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759718165264-jjawf9.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759718174935-savxue.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759718175319-wir9bv.jpg|https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1759718175721-3mh3k9.jpg,true,false,false,Portugal Home Kid Set,250,880,[],,,SKU-1759718215144-LTQZTM,portugal-home-kid-set-1759718215144-ewbg,0,"::::::0::Kids Set::[{""size"":""16"",""price"":880,""stock"":10},{""size"":""18"",""price"":880,""stock"":10},{""size"":""20"",""price"":880,""stock"":10},{""size"":""22"",""price"":880,""stock"":10},{""size"":""24"",""price"":880,""stock"":10},{""size"":""26"",""price"":880,""stock"":10},{""size"":""28"",""price"":880,""stock"":10}]::::",
